iteration,camera1_pose,camera3_pose
40,"[0.243655, 0.044931, 0.341958, 3.104588, 0.005762, 3.119092]","[0.143085, 0.185503, 0.505021, -0.425020, -0.370914, 1.908851]"
41,"[0.243655, 0.044931, 0.341958, 3.104588, 0.005762, 3.119092]","[0.143085, 0.185503, 0.505021, -0.425020, -0.370914, 1.908851]"
42,"[0.243655, 0.044931, 0.341958, 3.104588, 0.005762, 3.119092]","[0.143102, 0.185495, 0.504986, -0.424768, -0.368655, 1.907574]"
43,"[0.243673, 0.044946, 0.341966, 3.104407, 0.006424, 3.119076]","[0.143102, 0.185495, 0.504986, -0.424768, -0.368655, 1.907574]"
44,"[0.243673, 0.044946, 0.341966, 3.104407, 0.006424, 3.119076]","[0.143102, 0.185495, 0.504986, -0.424768, -0.368655, 1.907574]"
45,"[0.243673, 0.044946, 0.341966, 3.104407, 0.006424, 3.119076]","[0.143144, 0.185539, 0.505159, -0.425032, -0.369388, 1.908059]"
46,"[0.243602, 0.044933, 0.341920, 3.104525, 0.006723, 3.119215]","[0.143144, 0.185539, 0.505159, -0.425032, -0.369388, 1.908059]"
47,"[0.243602, 0.044933, 0.341920, 3.104525, 0.006723, 3.119215]","[0.143126, 0.185467, 0.505039, -0.424882, -0.368451, 1.907710]"
48,"[0.243694, 0.044928, 0.341965, 3.104573, 0.006381, 3.118489]","[0.143126, 0.185467, 0.505039, -0.424882, -0.368451, 1.907710]"
49,"[0.243694, 0.044928, 0.341965, 3.104573, 0.006381, 3.118489]","[0.143126, 0.185467, 0.505039, -0.424882, -0.368451, 1.907710]"
50,"[0.243694, 0.044928, 0.341965, 3.104573, 0.006381, 3.118489]","[0.143167, 0.185531, 0.505206, -0.425078, -0.369739, 1.908966]"
51,"[0.243686, 0.044924, 0.341998, 3.104375, 0.005825, 3.118023]","[0.143167, 0.185531, 0.505206, -0.425078, -0.369739, 1.908966]"
52,"[0.243686, 0.044924, 0.341998, 3.104375, 0.005825, 3.118023]","[0.143167, 0.185531, 0.505206, -0.425078, -0.369739, 1.908966]"
53,"[0.243686, 0.044924, 0.341998, 3.104375, 0.005825, 3.118023]","[0.143055, 0.185475, 0.505006, -0.425192, -0.369429, 1.907819]"
54,"[0.243687, 0.044942, 0.341983, 3.104415, 0.006041, 3.118965]","[0.143055, 0.185475, 0.505006, -0.425192, -0.369429, 1.907819]"
55,"[0.243687, 0.044942, 0.341983, 3.104415, 0.006041, 3.118965]","[0.143055, 0.185475, 0.505006, -0.425192, -0.369429, 1.907819]"
56,"[0.243687, 0.044942, 0.341983, 3.104415, 0.006041, 3.118965]","[0.143120, 0.185448, 0.504976, -0.424972, -0.368623, 1.908142]"
57,"[0.243688, 0.044953, 0.341986, 3.104302, 0.006277, 3.118948]","[0.143120, 0.185448, 0.504976, -0.424972, -0.368623, 1.908142]"
58,"[0.243688, 0.044953, 0.341986, 3.104302, 0.006277, 3.118948]","[0.143120, 0.185448, 0.504976, -0.424972, -0.368623, 1.908142]"
59,"[0.243688, 0.044953, 0.341986, 3.104302, 0.006277, 3.118948]","[0.143107, 0.185423, 0.504890, -0.425276, -0.369018, 1.907701]"
60,"[0.243670, 0.044930, 0.341971, 3.104184, 0.005952, 3.118101]","[0.143107, 0.185423, 0.504890, -0.425276, -0.369018, 1.907701]"
61,"[0.243670, 0.044930, 0.341971, 3.104184, 0.005952, 3.118101]","[0.143107, 0.185423, 0.504890, -0.425276, -0.369018, 1.907701]"
62,"[0.243670, 0.044930, 0.341971, 3.104184, 0.005952, 3.118101]","[0.143137, 0.185550, 0.505172, -0.424679, -0.369516, 1.909069]"
63,"[0.243744, 0.044957, 0.342064, 3.104115, 0.006098, 3.118356]","[0.143137, 0.185550, 0.505172, -0.424679, -0.369516, 1.909069]"
64,"[0.243744, 0.044957, 0.342064, 3.104115, 0.006098, 3.118356]","[0.143137, 0.185550, 0.505172, -0.424679, -0.369516, 1.909069]"
65,"[0.243744, 0.044957, 0.342064, 3.104115, 0.006098, 3.118356]","[0.143091, 0.185435, 0.504904, -0.424480, -0.368673, 1.908345]"
66,"[0.243617, 0.044926, 0.341886, 3.104347, 0.006547, 3.118529]","[0.143091, 0.185435, 0.504904, -0.424480, -0.368673, 1.908345]"
67,"[0.243617, 0.044926, 0.341886, 3.104347, 0.006547, 3.118529]","[0.143091, 0.185435, 0.504904, -0.424480, -0.368673, 1.908345]"
68,"[0.243617, 0.044926, 0.341886, 3.104347, 0.006547, 3.118529]","[0.143136, 0.185565, 0.505254, -0.425657, -0.370361, 1.909327]"
69,"[0.243642, 0.044935, 0.341936, 3.104301, 0.006667, 3.119064]","[0.143136, 0.185565, 0.505254, -0.425657, -0.370361, 1.909327]"
70,"[0.243642, 0.044935, 0.341936, 3.104301, 0.006667, 3.119064]","[0.143026, 0.185343, 0.504641, -0.424738, -0.369385, 1.907414]"
71,"[0.243707, 0.044937, 0.342001, 3.104211, 0.006540, 3.118140]","[0.143026, 0.185343, 0.504641, -0.424738, -0.369385, 1.907414]"
72,"[0.243707, 0.044937, 0.342001, 3.104211, 0.006540, 3.118140]","[0.143026, 0.185343, 0.504641, -0.424738, -0.369385, 1.907414]"
73,"[0.243707, 0.044937, 0.342001, 3.104211, 0.006540, 3.118140]","[0.143172, 0.185510, 0.505122, -0.424322, -0.368852, 1.907960]"
74,"[0.243627, 0.044941, 0.341905, 3.104272, 0.006347, 3.118637]","[0.143172, 0.185510, 0.505122, -0.424322, -0.368852, 1.907960]"
75,"[0.243627, 0.044941, 0.341905, 3.104272, 0.006347, 3.118637]","[0.143172, 0.185510, 0.505122, -0.424322, -0.368852, 1.907960]"
76,"[0.243627, 0.044941, 0.341905, 3.104272, 0.006347, 3.118637]","[0.143034, 0.185442, 0.504867, -0.423851, -0.367655, 1.907675]"
77,"[0.243737, 0.044953, 0.342067, 3.104218, 0.005743, 3.118577]","[0.143034, 0.185442, 0.504867, -0.423851, -0.367655, 1.907675]"
78,"[0.243737, 0.044953, 0.342067, 3.104218, 0.005743, 3.118577]","[0.143034, 0.185442, 0.504867, -0.423851, -0.367655, 1.907675]"
79,"[0.243737, 0.044953, 0.342067, 3.104218, 0.005743, 3.118577]","[0.143149, 0.185532, 0.505064, -0.424156, -0.368956, 1.907618]"
80,"[0.243670, 0.044933, 0.341971, 3.104452, 0.005885, 3.118921]","[0.143149, 0.185532, 0.505064, -0.424156, -0.368956, 1.907618]"
81,"[0.243670, 0.044933, 0.341971, 3.104452, 0.005885, 3.118921]","[0.143149, 0.185532, 0.505064, -0.424156, -0.368956, 1.907618]"
82,"[0.243670, 0.044933, 0.341971, 3.104452, 0.005885, 3.118921]","[0.143112, 0.185506, 0.505028, -0.424776, -0.368991, 1.908147]"
83,"[0.243682, 0.044940, 0.341983, 3.104328, 0.006426, 3.118971]","[0.143112, 0.185506, 0.505028, -0.424776, -0.368991, 1.908147]"
84,"[0.243682, 0.044940, 0.341983, 3.104328, 0.006426, 3.118971]","[0.143136, 0.185488, 0.505042, -0.424474, -0.368241, 1.908236]"
85,"[0.243635, 0.044923, 0.341916, 3.104300, 0.006465, 3.118542]","[0.143136, 0.185488, 0.505042, -0.424474, -0.368241, 1.908236]"
86,"[0.243635, 0.044923, 0.341916, 3.104300, 0.006465, 3.118542]","[0.143136, 0.185488, 0.505042, -0.424474, -0.368241, 1.908236]"
87,"[0.243635, 0.044923, 0.341916, 3.104300, 0.006465, 3.118542]","[0.143063, 0.185431, 0.504867, -0.424966, -0.369634, 1.907335]"
88,"[0.243646, 0.044944, 0.341934, 3.104508, 0.006415, 3.119299]","[0.143063, 0.185431, 0.504867, -0.424966, -0.369634, 1.907335]"
89,"[0.243646, 0.044944, 0.341934, 3.104508, 0.006415, 3.119299]","[0.143063, 0.185431, 0.504867, -0.424966, -0.369634, 1.907335]"
