iteration,camera1_pose,camera3_pose
178,"[0.243708, 0.044928, 0.342017, 3.104311, 0.005878, 3.118562]","[0.143127, 0.185461, 0.505042, -0.424416, -0.368301, 1.907781]"
179,"[0.243708, 0.044928, 0.342017, 3.104311, 0.005878, 3.118562]","[0.143127, 0.185461, 0.505042, -0.424416, -0.368301, 1.907781]"
180,"[0.243708, 0.044928, 0.342017, 3.104311, 0.005878, 3.118562]","[0.143107, 0.185503, 0.505073, -0.424927, -0.369529, 1.907938]"
181,"[0.243679, 0.044926, 0.341960, 3.104567, 0.005756, 3.118787]","[0.143107, 0.185503, 0.505073, -0.424927, -0.369529, 1.907938]"
182,"[0.243679, 0.044926, 0.341960, 3.104567, 0.005756, 3.118787]","[0.143107, 0.185503, 0.505073, -0.424927, -0.369529, 1.907938]"
183,"[0.243679, 0.044926, 0.341960, 3.104567, 0.005756, 3.118787]","[0.143229, 0.185558, 0.505259, -0.424644, -0.369628, 1.908706]"
184,"[0.243696, 0.044938, 0.341992, 3.104194, 0.006024, 3.118311]","[0.143229, 0.185558, 0.505259, -0.424644, -0.369628, 1.908706]"
185,"[0.243696, 0.044938, 0.341992, 3.104194, 0.006024, 3.118311]","[0.143229, 0.185558, 0.505259, -0.424644, -0.369628, 1.908706]"
186,"[0.243696, 0.044938, 0.341992, 3.104194, 0.006024, 3.118311]","[0.143140, 0.185498, 0.505124, -0.424630, -0.368973, 1.908269]"
187,"[0.243657, 0.044942, 0.341937, 3.104489, 0.006097, 3.118803]","[0.143140, 0.185498, 0.505124, -0.424630, -0.368973, 1.908269]"
188,"[0.243657, 0.044942, 0.341937, 3.104489, 0.006097, 3.118803]","[0.143140, 0.185498, 0.505124, -0.424630, -0.368973, 1.908269]"
189,"[0.243657, 0.044942, 0.341937, 3.104489, 0.006097, 3.118803]","[0.143061, 0.185402, 0.504871, -0.425165, -0.368422, 1.907658]"
190,"[0.243660, 0.044922, 0.341953, 3.104402, 0.006257, 3.118630]","[0.143061, 0.185402, 0.504871, -0.425165, -0.368422, 1.907658]"
191,"[0.243660, 0.044922, 0.341953, 3.104402, 0.006257, 3.118630]","[0.143061, 0.185402, 0.504871, -0.425165, -0.368422, 1.907658]"
192,"[0.243660, 0.044922, 0.341953, 3.104402, 0.006257, 3.118630]","[0.143100, 0.185454, 0.504933, -0.424805, -0.369217, 1.907968]"
193,"[0.243603, 0.044914, 0.341867, 3.104480, 0.006430, 3.118938]","[0.143100, 0.185454, 0.504933, -0.424805, -0.369217, 1.907968]"
194,"[0.243603, 0.044914, 0.341867, 3.104480, 0.006430, 3.118938]","[0.143100, 0.185454, 0.504933, -0.424805, -0.369217, 1.907968]"
195,"[0.243603, 0.044914, 0.341867, 3.104480, 0.006430, 3.118938]","[0.143071, 0.185446, 0.504911, -0.424910, -0.369025, 1.907744]"
196,"[0.243664, 0.044924, 0.341960, 3.104319, 0.006651, 3.118466]","[0.143071, 0.185446, 0.504911, -0.424910, -0.369025, 1.907744]"
197,"[0.243664, 0.044924, 0.341960, 3.104319, 0.006651, 3.118466]","[0.143071, 0.185446, 0.504911, -0.424910, -0.369025, 1.907744]"
198,"[0.243664, 0.044924, 0.341960, 3.104319, 0.006651, 3.118466]","[0.142983, 0.185359, 0.504697, -0.424326, -0.368209, 1.907477]"
199,"[0.243654, 0.044939, 0.341928, 3.104194, 0.006409, 3.118778]","[0.142983, 0.185359, 0.504697, -0.424326, -0.368209, 1.907477]"
200,"[0.243654, 0.044939, 0.341928, 3.104194, 0.006409, 3.118778]","[0.142983, 0.185359, 0.504697, -0.424326, -0.368209, 1.907477]"
201,"[0.243654, 0.044939, 0.341928, 3.104194, 0.006409, 3.118778]","[0.143209, 0.185600, 0.505339, -0.424641, -0.369375, 1.909262]"
202,"[0.243682, 0.044938, 0.341977, 3.104184, 0.005945, 3.118487]","[0.143209, 0.185600, 0.505339, -0.424641, -0.369375, 1.909262]"
203,"[0.243682, 0.044938, 0.341977, 3.104184, 0.005945, 3.118487]","[0.143209, 0.185600, 0.505339, -0.424641, -0.369375, 1.909262]"
204,"[0.243682, 0.044938, 0.341977, 3.104184, 0.005945, 3.118487]","[0.143097, 0.185492, 0.505001, -0.424618, -0.368682, 1.907352]"
205,"[0.243671, 0.044919, 0.341953, 3.104145, 0.006306, 3.118408]","[0.143097, 0.185492, 0.505001, -0.424618, -0.368682, 1.907352]"
206,"[0.243671, 0.044919, 0.341953, 3.104145, 0.006306, 3.118408]","[0.143146, 0.185528, 0.505088, -0.424485, -0.369495, 1.908598]"
207,"[0.243671, 0.044919, 0.341953, 3.104145, 0.006306, 3.118408]","[0.143146, 0.185528, 0.505088, -0.424485, -0.369495, 1.908598]"
208,"[0.243615, 0.044923, 0.341913, 3.104546, 0.006409, 3.119114]","[0.143146, 0.185528, 0.505088, -0.424485, -0.369495, 1.908598]"
209,"[0.243615, 0.044923, 0.341913, 3.104546, 0.006409, 3.119114]","[0.143082, 0.185417, 0.504865, -0.424460, -0.369003, 1.908133]"
210,"[0.243615, 0.044923, 0.341913, 3.104546, 0.006409, 3.119114]","[0.143082, 0.185417, 0.504865, -0.424460, -0.369003, 1.908133]"
211,"[0.243620, 0.044919, 0.341891, 3.104611, 0.006681, 3.119034]","[0.143082, 0.185417, 0.504865, -0.424460, -0.369003, 1.908133]"
212,"[0.243620, 0.044919, 0.341891, 3.104611, 0.006681, 3.119034]","[0.143126, 0.185468, 0.505030, -0.424902, -0.368970, 1.908150]"
213,"[0.243598, 0.044919, 0.341850, 3.104433, 0.006591, 3.118776]","[0.143126, 0.185468, 0.505030, -0.424902, -0.368970, 1.908150]"
214,"[0.243598, 0.044919, 0.341850, 3.104433, 0.006591, 3.118776]","[0.143126, 0.185468, 0.505030, -0.424902, -0.368970, 1.908150]"
215,"[0.243598, 0.044919, 0.341850, 3.104433, 0.006591, 3.118776]","[0.143145, 0.185532, 0.505096, -0.425568, -0.369084, 1.907717]"
216,"[0.243661, 0.044937, 0.341937, 3.104461, 0.006479, 3.118760]","[0.143145, 0.185532, 0.505096, -0.425568, -0.369084, 1.907717]"
217,"[0.243661, 0.044937, 0.341937, 3.104461, 0.006479, 3.118760]","[0.143145, 0.185532, 0.505096, -0.425568, -0.369084, 1.907717]"
218,"[0.243661, 0.044937, 0.341937, 3.104461, 0.006479, 3.118760]","[0.143094, 0.185472, 0.505021, -0.425026, -0.368392, 1.907953]"
219,"[0.243604, 0.044937, 0.341898, 3.103967, 0.006825, 3.118306]","[0.143094, 0.185472, 0.505021, -0.425026, -0.368392, 1.907953]"
220,"[0.243604, 0.044937, 0.341898, 3.103967, 0.006825, 3.118306]","[0.143094, 0.185472, 0.505021, -0.425026, -0.368392, 1.907953]"
221,"[0.243604, 0.044937, 0.341898, 3.103967, 0.006825, 3.118306]","[0.143141, 0.185527, 0.505087, -0.425114, -0.368576, 1.907574]"
222,"[0.243585, 0.044907, 0.341839, 3.104698, 0.006378, 3.119191]","[0.143141, 0.185527, 0.505087, -0.425114, -0.368576, 1.907574]"
223,"[0.243585, 0.044907, 0.341839, 3.104698, 0.006378, 3.119191]","[0.143141, 0.185527, 0.505087, -0.425114, -0.368576, 1.907574]"
224,"[0.243585, 0.044907, 0.341839, 3.104698, 0.006378, 3.119191]","[0.143090, 0.185429, 0.504924, -0.424857, -0.369006, 1.907578]"
225,"[0.243624, 0.044927, 0.341899, 3.104519, 0.006350, 3.119128]","[0.143090, 0.185429, 0.504924, -0.424857, -0.369006, 1.907578]"
226,"[0.243624, 0.044927, 0.341899, 3.104519, 0.006350, 3.119128]","[0.143090, 0.185429, 0.504924, -0.424857, -0.369006, 1.907578]"
227,"[0.243624, 0.044927, 0.341899, 3.104519, 0.006350, 3.119128]","[0.143026, 0.185411, 0.504722, -0.425011, -0.368817, 1.907345]"
228,"[0.243647, 0.044926, 0.341936, 3.104281, 0.006575, 3.118475]","[0.143026, 0.185411, 0.504722, -0.425011, -0.368817, 1.907345]"
229,"[0.243647, 0.044926, 0.341936, 3.104281, 0.006575, 3.118475]","[0.143026, 0.185398, 0.504709, -0.424790, -0.369662, 1.906904]"
230,"[0.243654, 0.044927, 0.341939, 3.104373, 0.006544, 3.118578]","[0.143026, 0.185398, 0.504709, -0.424790, -0.369662, 1.906904]"
231,"[0.243654, 0.044927, 0.341939, 3.104373, 0.006544, 3.118578]","[0.143026, 0.185398, 0.504709, -0.424790, -0.369662, 1.906904]"
232,"[0.243654, 0.044927, 0.341939, 3.104373, 0.006544, 3.118578]","[0.143075, 0.185487, 0.504926, -0.424914, -0.369300, 1.907780]"
233,"[0.243722, 0.044937, 0.342044, 3.104068, 0.005362, 3.118266]","[0.143075, 0.185487, 0.504926, -0.424914, -0.369300, 1.907780]"
234,"[0.243722, 0.044937, 0.342044, 3.104068, 0.005362, 3.118266]","[0.143075, 0.185487, 0.504926, -0.424914, -0.369300, 1.907780]"
235,"[0.243722, 0.044937, 0.342044, 3.104068, 0.005362, 3.118266]","[0.143062, 0.185470, 0.504941, -0.425264, -0.369069, 1.906661]"
236,"[0.243673, 0.044941, 0.341990, 3.104341, 0.006048, 3.118892]","[0.143062, 0.185470, 0.504941, -0.425264, -0.369069, 1.906661]"
237,"[0.243673, 0.044941, 0.341990, 3.104341, 0.006048, 3.118892]","[0.143062, 0.185470, 0.504941, -0.425264, -0.369069, 1.906661]"
238,"[0.243673, 0.044941, 0.341990, 3.104341, 0.006048, 3.118892]","[0.143138, 0.185471, 0.505096, -0.424257, -0.368320, 1.907639]"
239,"[0.243602, 0.044918, 0.341866, 3.104740, 0.006266, 3.119261]","[0.143138, 0.185471, 0.505096, -0.424257, -0.368320, 1.907639]"
240,"[0.243602, 0.044918, 0.341866, 3.104740, 0.006266, 3.119261]","[0.143138, 0.185471, 0.505096, -0.424257, -0.368320, 1.907639]"
241,"[0.243602, 0.044918, 0.341866, 3.104740, 0.006266, 3.119261]","[0.143095, 0.185490, 0.505021, -0.425318, -0.369014, 1.907109]"
242,"[0.243644, 0.044944, 0.341933, 3.104709, 0.006343, 3.118803]","[0.143095, 0.185490, 0.505021, -0.425318, -0.369014, 1.907109]"
243,"[0.243644, 0.044944, 0.341933, 3.104709, 0.006343, 3.118803]","[0.143132, 0.185525, 0.505142, -0.425438, -0.369324, 1.908654]"
244,"[0.243630, 0.044926, 0.341898, 3.104620, 0.006501, 3.118556]","[0.143132, 0.185525, 0.505142, -0.425438, -0.369324, 1.908654]"
245,"[0.243630, 0.044926, 0.341898, 3.104620, 0.006501, 3.118556]","[0.143132, 0.185525, 0.505142, -0.425438, -0.369324, 1.908654]"
246,"[0.243630, 0.044926, 0.341898, 3.104620, 0.006501, 3.118556]","[0.143101, 0.185537, 0.505107, -0.424924, -0.369175, 1.908142]"
247,"[0.243656, 0.044911, 0.341928, 3.104711, 0.006417, 3.118826]","[0.143101, 0.185537, 0.505107, -0.424924, -0.369175, 1.908142]"
248,"[0.243656, 0.044911, 0.341928, 3.104711, 0.006417, 3.118826]","[0.143101, 0.185537, 0.505107, -0.424924, -0.369175, 1.908142]"
249,"[0.243656, 0.044911, 0.341928, 3.104711, 0.006417, 3.118826]","[0.143118, 0.185508, 0.505031, -0.424762, -0.369391, 1.907599]"
250,"[0.243632, 0.044928, 0.341921, 3.104103, 0.006550, 3.118644]","[0.143118, 0.185508, 0.505031, -0.424762, -0.369391, 1.907599]"
251,"[0.243632, 0.044928, 0.341921, 3.104103, 0.006550, 3.118644]","[0.143118, 0.185508, 0.505031, -0.424762, -0.369391, 1.907599]"
252,"[0.243632, 0.044928, 0.341921, 3.104103, 0.006550, 3.118644]","[0.143080, 0.185412, 0.504852, -0.424050, -0.368018, 1.907226]"
253,"[0.243659, 0.044944, 0.341953, 3.104288, 0.006129, 3.118424]","[0.143080, 0.185412, 0.504852, -0.424050, -0.368018, 1.907226]"
254,"[0.243659, 0.044944, 0.341953, 3.104288, 0.006129, 3.118424]","[0.143080, 0.185412, 0.504852, -0.424050, -0.368018, 1.907226]"
255,"[0.243659, 0.044944, 0.341953, 3.104288, 0.006129, 3.118424]","[0.143074, 0.185482, 0.504971, -0.424134, -0.368573, 1.907649]"
256,"[0.243631, 0.044938, 0.341905, 3.104674, 0.006864, 3.119507]","[0.143074, 0.185482, 0.504971, -0.424134, -0.368573, 1.907649]"
257,"[0.243631, 0.044938, 0.341905, 3.104674, 0.006864, 3.119507]","[0.143074, 0.185482, 0.504971, -0.424134, -0.368573, 1.907649]"
258,"[0.243631, 0.044938, 0.341905, 3.104674, 0.006864, 3.119507]","[0.143006, 0.185341, 0.504664, -0.425203, -0.369234, 1.906918]"
259,"[0.243637, 0.044933, 0.341891, 3.104650, 0.006506, 3.119040]","[0.143006, 0.185341, 0.504664, -0.425203, -0.369234, 1.906918]"
260,"[0.243637, 0.044933, 0.341891, 3.104650, 0.006506, 3.119040]","[0.142944, 0.185302, 0.504511, -0.424719, -0.369807, 1.906491]"
261,"[0.243643, 0.044939, 0.341976, 3.104326, 0.006395, 3.119281]","[0.142944, 0.185302, 0.504511, -0.424719, -0.369807, 1.906491]"
262,"[0.243643, 0.044939, 0.341976, 3.104326, 0.006395, 3.119281]","[0.142944, 0.185302, 0.504511, -0.424719, -0.369807, 1.906491]"
263,"[0.243643, 0.044939, 0.341976, 3.104326, 0.006395, 3.119281]","[0.143090, 0.185436, 0.504911, -0.425029, -0.369202, 1.907299]"
264,"[0.243669, 0.044939, 0.341948, 3.104335, 0.006301, 3.118276]","[0.143090, 0.185436, 0.504911, -0.425029, -0.369202, 1.907299]"
265,"[0.243669, 0.044939, 0.341948, 3.104335, 0.006301, 3.118276]","[0.143090, 0.185436, 0.504911, -0.425029, -0.369202, 1.907299]"
266,"[0.243669, 0.044939, 0.341948, 3.104335, 0.006301, 3.118276]","[0.143024, 0.185372, 0.504696, -0.424779, -0.369052, 1.907698]"
267,"[0.243689, 0.044945, 0.341991, 3.104338, 0.005669, 3.118574]","[0.143024, 0.185372, 0.504696, -0.424779, -0.369052, 1.907698]"
268,"[0.243689, 0.044945, 0.341991, 3.104338, 0.005669, 3.118574]","[0.143024, 0.185372, 0.504696, -0.424779, -0.369052, 1.907698]"
269,"[0.243689, 0.044945, 0.341991, 3.104338, 0.005669, 3.118574]","[0.143145, 0.185488, 0.505149, -0.424557, -0.369582, 1.907810]"
270,"[0.243713, 0.044961, 0.342039, 3.104241, 0.006552, 3.118803]","[0.143145, 0.185488, 0.505149, -0.424557, -0.369582, 1.907810]"
271,"[0.243713, 0.044961, 0.342039, 3.104241, 0.006552, 3.118803]","[0.143145, 0.185488, 0.505149, -0.424557, -0.369582, 1.907810]"
272,"[0.243713, 0.044961, 0.342039, 3.104241, 0.006552, 3.118803]","[0.143076, 0.185399, 0.504845, -0.425230, -0.369955, 1.908077]"
273,"[0.243649, 0.044933, 0.341938, 3.104534, 0.006355, 3.118614]","[0.143076, 0.185399, 0.504845, -0.425230, -0.369955, 1.908077]"
274,"[0.243649, 0.044933, 0.341938, 3.104534, 0.006355, 3.118614]","[0.143076, 0.185399, 0.504845, -0.425230, -0.369955, 1.908077]"
275,"[0.243649, 0.044933, 0.341938, 3.104534, 0.006355, 3.118614]","[0.143139, 0.185527, 0.505160, -0.424893, -0.369444, 1.908181]"
276,"[0.243648, 0.044943, 0.341947, 3.104242, 0.006641, 3.119191]","[0.143139, 0.185527, 0.505160, -0.424893, -0.369444, 1.908181]"
277,"[0.243648, 0.044943, 0.341947, 3.104242, 0.006641, 3.119191]","[0.143139, 0.185527, 0.505160, -0.424893, -0.369444, 1.908181]"
278,"[0.243648, 0.044943, 0.341947, 3.104242, 0.006641, 3.119191]","[0.143152, 0.185522, 0.505143, -0.425108, -0.368423, 1.907731]"
279,"[0.243709, 0.044958, 0.342020, 3.104101, 0.006276, 3.118781]","[0.143152, 0.185522, 0.505143, -0.425108, -0.368423, 1.907731]"
280,"[0.243709, 0.044958, 0.342020, 3.104101, 0.006276, 3.118781]","[0.143152, 0.185522, 0.505143, -0.425108, -0.368423, 1.907731]"
281,"[0.243709, 0.044958, 0.342020, 3.104101, 0.006276, 3.118781]","[0.143089, 0.185473, 0.504972, -0.425112, -0.369374, 1.906591]"
282,"[0.243639, 0.044920, 0.341913, 3.104207, 0.006385, 3.118241]","[0.143089, 0.185473, 0.504972, -0.425112, -0.369374, 1.906591]"
283,"[0.243639, 0.044920, 0.341913, 3.104207, 0.006385, 3.118241]","[0.143089, 0.185473, 0.504972, -0.425112, -0.369374, 1.906591]"
284,"[0.243721, 0.044933, 0.342056, 3.104441, 0.005567, 3.118652]","[0.143100, 0.185517, 0.505053, -0.424453, -0.368544, 1.907795]"
285,"[0.243721, 0.044933, 0.342056, 3.104441, 0.005567, 3.118652]","[0.143100, 0.185517, 0.505053, -0.424453, -0.368544, 1.907795]"
286,"[0.243721, 0.044933, 0.342056, 3.104441, 0.005567, 3.118652]","[0.143114, 0.185503, 0.505024, -0.425519, -0.369843, 1.907805]"
287,"[0.243587, 0.044911, 0.341867, 3.104332, 0.006766, 3.119196]","[0.143114, 0.185503, 0.505024, -0.425519, -0.369843, 1.907805]"
288,"[0.243587, 0.044911, 0.341867, 3.104332, 0.006766, 3.119196]","[0.143114, 0.185503, 0.505024, -0.425519, -0.369843, 1.907805]"
289,"[0.243587, 0.044911, 0.341867, 3.104332, 0.006766, 3.119196]","[0.143187, 0.185554, 0.505173, -0.424315, -0.368948, 1.907837]"
290,"[0.243664, 0.044953, 0.341990, 3.104149, 0.006381, 3.119159]","[0.143187, 0.185554, 0.505173, -0.424315, -0.368948, 1.907837]"
291,"[0.243664, 0.044953, 0.341990, 3.104149, 0.006381, 3.119159]","[0.143187, 0.185554, 0.505173, -0.424315, -0.368948, 1.907837]"
292,"[0.243664, 0.044953, 0.341990, 3.104149, 0.006381, 3.119159]","[0.143113, 0.185538, 0.505078, -0.424813, -0.369997, 1.908663]"
293,"[0.243670, 0.044935, 0.341989, 3.104443, 0.005998, 3.118650]","[0.143113, 0.185538, 0.505078, -0.424813, -0.369997, 1.908663]"
294,"[0.243670, 0.044935, 0.341989, 3.104443, 0.005998, 3.118650]","[0.143113, 0.185538, 0.505078, -0.424813, -0.369997, 1.908663]"
295,"[0.243670, 0.044935, 0.341989, 3.104443, 0.005998, 3.118650]","[0.143028, 0.185422, 0.504758, -0.425168, -0.369149, 1.906976]"
296,"[0.243671, 0.044932, 0.341986, 3.104234, 0.006406, 3.118813]","[0.143028, 0.185422, 0.504758, -0.425168, -0.369149, 1.906976]"
297,"[0.243671, 0.044932, 0.341986, 3.104234, 0.006406, 3.118813]","[0.143028, 0.185422, 0.504758, -0.425168, -0.369149, 1.906976]"
298,"[0.243671, 0.044932, 0.341986, 3.104234, 0.006406, 3.118813]","[0.143174, 0.185529, 0.505167, -0.424503, -0.369291, 1.908702]"
299,"[0.243664, 0.044942, 0.341940, 3.104322, 0.006405, 3.119053]","[0.143174, 0.185529, 0.505167, -0.424503, -0.369291, 1.908702]"
300,"[0.243664, 0.044942, 0.341940, 3.104322, 0.006405, 3.119053]","[0.143041, 0.185402, 0.504763, -0.425050, -0.368988, 1.906556]"
301,"[0.243766, 0.044952, 0.342085, 3.104350, 0.005672, 3.118315]","[0.143041, 0.185402, 0.504763, -0.425050, -0.368988, 1.906556]"
302,"[0.243766, 0.044952, 0.342085, 3.104350, 0.005672, 3.118315]","[0.143041, 0.185402, 0.504763, -0.425050, -0.368988, 1.906556]"
303,"[0.243766, 0.044952, 0.342085, 3.104350, 0.005672, 3.118315]","[0.143172, 0.185595, 0.505331, -0.425889, -0.369795, 1.908403]"
304,"[0.243706, 0.044939, 0.342004, 3.104203, 0.006439, 3.118141]","[0.143172, 0.185595, 0.505331, -0.425889, -0.369795, 1.908403]"
305,"[0.243706, 0.044939, 0.342004, 3.104203, 0.006439, 3.118141]","[0.143172, 0.185595, 0.505331, -0.425889, -0.369795, 1.908403]"
306,"[0.243706, 0.044939, 0.342004, 3.104203, 0.006439, 3.118141]","[0.143095, 0.185545, 0.505112, -0.425244, -0.368879, 1.907834]"
307,"[0.243657, 0.044949, 0.341945, 3.104243, 0.006876, 3.118877]","[0.143095, 0.185545, 0.505112, -0.425244, -0.368879, 1.907834]"
308,"[0.243657, 0.044949, 0.341945, 3.104243, 0.006876, 3.118877]","[0.143178, 0.185542, 0.505216, -0.424919, -0.369687, 1.909230]"
309,"[0.243669, 0.044923, 0.341958, 3.104323, 0.005839, 3.118933]","[0.143178, 0.185542, 0.505216, -0.424919, -0.369687, 1.909230]"
310,"[0.243669, 0.044923, 0.341958, 3.104323, 0.005839, 3.118933]","[0.143178, 0.185542, 0.505216, -0.424919, -0.369687, 1.909230]"
311,"[0.243669, 0.044923, 0.341958, 3.104323, 0.005839, 3.118933]","[0.143097, 0.185478, 0.504998, -0.424349, -0.367838, 1.907715]"
312,"[0.243714, 0.044944, 0.342035, 3.104406, 0.006002, 3.118537]","[0.143097, 0.185478, 0.504998, -0.424349, -0.367838, 1.907715]"
313,"[0.243714, 0.044944, 0.342035, 3.104406, 0.006002, 3.118537]","[0.143097, 0.185478, 0.504998, -0.424349, -0.367838, 1.907715]"
314,"[0.243714, 0.044944, 0.342035, 3.104406, 0.006002, 3.118537]","[0.143071, 0.185443, 0.504889, -0.424410, -0.368683, 1.907831]"
315,"[0.243719, 0.044933, 0.342040, 3.104739, 0.005621, 3.119136]","[0.143071, 0.185443, 0.504889, -0.424410, -0.368683, 1.907831]"
316,"[0.243719, 0.044933, 0.342040, 3.104739, 0.005621, 3.119136]","[0.143071, 0.185443, 0.504889, -0.424410, -0.368683, 1.907831]"
317,"[0.243719, 0.044933, 0.342040, 3.104739, 0.005621, 3.119136]","[0.143188, 0.185567, 0.505268, -0.425902, -0.368971, 1.908515]"
318,"[0.243665, 0.044929, 0.341975, 3.104518, 0.006291, 3.118995]","[0.143188, 0.185567, 0.505268, -0.425902, -0.368971, 1.908515]"
319,"[0.243665, 0.044929, 0.341975, 3.104518, 0.006291, 3.118995]","[0.143188, 0.185567, 0.505268, -0.425902, -0.368971, 1.908515]"
320,"[0.243665, 0.044929, 0.341975, 3.104518, 0.006291, 3.118995]","[0.143057, 0.185442, 0.504878, -0.424368, -0.369392, 1.907563]"
321,"[0.243657, 0.044939, 0.341942, 3.104538, 0.006190, 3.118844]","[0.143057, 0.185442, 0.504878, -0.424368, -0.369392, 1.907563]"
322,"[0.243657, 0.044939, 0.341942, 3.104538, 0.006190, 3.118844]","[0.143038, 0.185423, 0.504812, -0.424493, -0.369395, 1.907724]"
323,"[0.243666, 0.044928, 0.341948, 3.104252, 0.006610, 3.118967]","[0.143038, 0.185423, 0.504812, -0.424493, -0.369395, 1.907724]"
324,"[0.243666, 0.044928, 0.341948, 3.104252, 0.006610, 3.118967]","[0.143038, 0.185423, 0.504812, -0.424493, -0.369395, 1.907724]"
325,"[0.243666, 0.044928, 0.341948, 3.104252, 0.006610, 3.118967]","[0.143111, 0.185550, 0.505124, -0.424020, -0.368631, 1.909015]"
326,"[0.243694, 0.044946, 0.342011, 3.104440, 0.005952, 3.118952]","[0.143111, 0.185550, 0.505124, -0.424020, -0.368631, 1.909015]"
327,"[0.243694, 0.044946, 0.342011, 3.104440, 0.005952, 3.118952]","[0.143111, 0.185550, 0.505124, -0.424020, -0.368631, 1.909015]"
328,"[0.243694, 0.044946, 0.342011, 3.104440, 0.005952, 3.118952]","[0.143154, 0.185489, 0.505103, -0.424775, -0.369136, 1.908134]"
329,"[0.243695, 0.044945, 0.341988, 3.104325, 0.005273, 3.118733]","[0.143154, 0.185489, 0.505103, -0.424775, -0.369136, 1.908134]"
330,"[0.243695, 0.044945, 0.341988, 3.104325, 0.005273, 3.118733]","[0.143154, 0.185489, 0.505103, -0.424775, -0.369136, 1.908134]"
331,"[0.243695, 0.044945, 0.341988, 3.104325, 0.005273, 3.118733]","[0.143036, 0.185401, 0.504854, -0.425330, -0.368976, 1.907503]"
332,"[0.243663, 0.044944, 0.341936, 3.104432, 0.006677, 3.119065]","[0.143036, 0.185401, 0.504854, -0.425330, -0.368976, 1.907503]"
333,"[0.243663, 0.044944, 0.341936, 3.104432, 0.006677, 3.119065]","[0.143036, 0.185401, 0.504854, -0.425330, -0.368976, 1.907503]"
334,"[0.243663, 0.044944, 0.341936, 3.104432, 0.006677, 3.119065]","[0.143101, 0.185405, 0.504898, -0.424499, -0.369278, 1.907636]"
335,"[0.243739, 0.044949, 0.342067, 3.104140, 0.005504, 3.118322]","[0.143101, 0.185405, 0.504898, -0.424499, -0.369278, 1.907636]"
336,"[0.243739, 0.044949, 0.342067, 3.104140, 0.005504, 3.118322]","[0.143101, 0.185405, 0.504898, -0.424499, -0.369278, 1.907636]"
337,"[0.243739, 0.044949, 0.342067, 3.104140, 0.005504, 3.118322]","[0.143057, 0.185431, 0.504815, -0.425187, -0.369423, 1.907054]"
338,"[0.243611, 0.044919, 0.341861, 3.104172, 0.006538, 3.118337]","[0.143057, 0.185431, 0.504815, -0.425187, -0.369423, 1.907054]"
339,"[0.243611, 0.044919, 0.341861, 3.104172, 0.006538, 3.118337]","[0.143057, 0.185431, 0.504815, -0.425187, -0.369423, 1.907054]"
340,"[0.243611, 0.044919, 0.341861, 3.104172, 0.006538, 3.118337]","[0.143082, 0.185438, 0.504872, -0.424602, -0.368374, 1.907602]"
341,"[0.243688, 0.044927, 0.341979, 3.104457, 0.006030, 3.118834]","[0.143082, 0.185438, 0.504872, -0.424602, -0.368374, 1.907602]"
342,"[0.243688, 0.044927, 0.341979, 3.104457, 0.006030, 3.118834]","[0.143082, 0.185438, 0.504872, -0.424602, -0.368374, 1.907602]"
343,"[0.243688, 0.044927, 0.341979, 3.104457, 0.006030, 3.118834]","[0.143019, 0.185367, 0.504733, -0.425072, -0.369360, 1.907693]"
344,"[0.243678, 0.044933, 0.341949, 3.104550, 0.006415, 3.118884]","[0.143019, 0.185367, 0.504733, -0.425072, -0.369360, 1.907693]"
345,"[0.243678, 0.044933, 0.341949, 3.104550, 0.006415, 3.118884]","[0.143019, 0.185367, 0.504733, -0.425072, -0.369360, 1.907693]"
346,"[0.243678, 0.044933, 0.341949, 3.104550, 0.006415, 3.118884]","[0.143165, 0.185521, 0.505128, -0.424711, -0.368954, 1.907688]"
347,"[0.243699, 0.044947, 0.342013, 3.104178, 0.006132, 3.118858]","[0.143165, 0.185521, 0.505128, -0.424711, -0.368954, 1.907688]"
348,"[0.243699, 0.044947, 0.342013, 3.104178, 0.006132, 3.118858]","[0.143000, 0.185366, 0.504702, -0.425759, -0.368143, 1.906378]"
349,"[0.243711, 0.044939, 0.342015, 3.103874, 0.006175, 3.117891]","[0.143000, 0.185366, 0.504702, -0.425759, -0.368143, 1.906378]"
350,"[0.243711, 0.044939, 0.342015, 3.103874, 0.006175, 3.117891]","[0.143000, 0.185366, 0.504702, -0.425759, -0.368143, 1.906378]"
351,"[0.243711, 0.044939, 0.342015, 3.103874, 0.006175, 3.117891]","[0.143143, 0.185516, 0.505133, -0.424848, -0.368191, 1.907805]"
352,"[0.243683, 0.044949, 0.341991, 3.104011, 0.006205, 3.118482]","[0.143143, 0.185516, 0.505133, -0.424848, -0.368191, 1.907805]"
353,"[0.243683, 0.044949, 0.341991, 3.104011, 0.006205, 3.118482]","[0.143143, 0.185516, 0.505133, -0.424848, -0.368191, 1.907805]"
354,"[0.243683, 0.044949, 0.341991, 3.104011, 0.006205, 3.118482]","[0.143052, 0.185431, 0.504846, -0.424716, -0.369232, 1.907429]"
355,"[0.243645, 0.044945, 0.341928, 3.104166, 0.006374, 3.118607]","[0.143052, 0.185431, 0.504846, -0.424716, -0.369232, 1.907429]"
356,"[0.243645, 0.044945, 0.341928, 3.104166, 0.006374, 3.118607]","[0.143052, 0.185431, 0.504846, -0.424716, -0.369232, 1.907429]"
